"","degree","closeness","betweenness"
"mageean, c. j.",5,0.000730994152046784,0
"martin, r.",5,0.000633312222925902,178.75
"parton, a.",5,0.00103626943005181,113.712344428091
"ruprecht, m.",5,0.000633312222925902,178.75
"schleiff, e.",5,0.000633312222925902,178.75
"short, d. m.",5,0.000838222967309304,10.328037298568
"tang, s.",5,0.000917431192660551,21.1016718368996
"whittle, i. r.",5,0.000838222967309304,10.328037298568
"aebischer, t.",4,0.000814332247557003,8.62655733786288
"alghane, m.",4,0.25,0
"bell, k.",4,0.000793650793650794,0
"brodie, s. d.",4,0.25,0
"faulkner, c.",4,0.000793650793650794,0
"fu, y. q.",4,0.25,0
"galpin, v.",4,0.000793021411578113,4.24047838897248
"grima, r.",4,0.000832639467110741,0
"grzegorczyk, m.",4,0.00102145045965271,104.781453124522
"harrington, l.",4,0.00072463768115942,39.3333333333337
"holland, l.",4,0.00072463768115942,39.3333333333337
"husmeier, d.",4,0.00102145045965271,104.781453124522
"jeffree, c.",4,0.000793650793650794,0
"kis, k.",4,0.000878734622144112,119.985237450866
"le bihan, y.",4,0.000832639467110741,0
"li, y.",4,0.25,0
"mackay, l.",4,0.000814332247557003,8.62655733786288
"macleod, k.",4,0.000745156482861401,1.12424242424242
"martin, s.",4,0.000832639467110741,0
"munagapati, v. s.",4,0.00087719298245614,29.6018493761141
"oparka, k.",4,0.000793650793650794,0
"oulton, r.",4,0.00072463768115942,39.3333333333337
"paape, d.",4,0.000814332247557003,8.62655733786288
"painter, k. j.",4,0.000663129973474801,720
"walton, a. j.",4,0.25,0
"degasperi, a.",3,0.000851063829787234,7.13104495130761
"innocente, s. a.",3,0.0006765899864682,0.9
"kemper, p.",3,0.000803858520900322,5.77907488020055
"kluth, d. c.",3,0.000934579439252336,7.18088656106913
"kudla, g.",3,0.000631711939355654,0
"marshall, s.",3,0.000697350069735007,0
"murray, a. w.",3,0.000631711939355654,0
"petfalski, e.",3,0.000514933058702369,0
"plotkin, j. b.",3,0.000631711939355654,0
"pritchard, j. c.",3,0.00087260034904014,17.678662131922
"rayner, j.",3,0.000723589001447178,0
"roy, m. m.",3,0.000723589001447178,0
"spagnolo, l.",3,0.000723589001447178,0
"swiatkowska, a.",3,0.000632511068943707,269.5
"yu, l.",3,0.000931966449207828,180.801494565217
"armstrong, n. j.",2,0.000535331905781585,0
"cordin, o.",2,0.000672043010752688,0
"hahn, d.",2,0.000672043010752688,0
"kane, s.",2,0.000835421888053467,0.270833333333333
"ocone, a.",2,0.000865051903114187,0
"pedersen, m.",2,0.25,2
"plotkin, g.",2,0.25,2
"saithong, t.",2,0.000661375661375661,0
"sanguinetti, g.",2,0.000865051903114187,0
"sennels, l.",2,0.0204081632653061,0.0588235294117647
"sherratt, j. a.",2,0.000535331905781585,0
"alexander, r.",1,0.000671591672263264,0
"ballarini, p.",1,0.000750187546886722,0
"caravagna, g.",1,0.000768639508070715,0
"elliot, e. a.",1,1,0
"hayes, n. w.",1,1,0
"heath, j. k.",1,0.000750187546886722,0
"oury, n.",1,0.166666666666667,0
"plotkin, g. d.",1,0.166666666666667,0
