"","degree","closeness","betweenness"
"Burchmore R.",3,0.111111111111111,0
"Chain P.S.G.",3,0.333333333333333,0.5
"Cortada-Garcia J.",3,0.2,0
"Daly R.",3,0.2,0
"Davenport A.P.",3,0.04,0
"Gannon B.",3,0.00662251655629139,0
"Gao L.-M.",3,0.333333333333333,3
"Gidden Z.",3,0.0285714285714286,0
"Halliday K.J.",3,0.032258064516129,0
"Hawasly M.",3,0.142857142857143,0
"Huang H.",3,0.00146198830409357,0
"Jasim S.",3,0.142857142857143,0
"Kelly V.",3,0.111111111111111,0
"Knittel A.",3,0.142857142857143,0
"Laetsch D.R.",3,0.0294117647058824,0
"Langlois Lopez S.",3,0.00769230769230769,0
"Lemgruber L.",3,0.111111111111111,0
"Liang Z.-M.",3,0.00118063754427391,0
"Liu Q.",3,0.00161550888529887,0
"Lun X.",3,0.00161550888529887,0
"Mongue A.J.",3,0.04,42
"Mozziconacci J.",3,0.00158227848101266,0
"Munro V.",3,0.111111111111111,0
"Mwatondo A.",3,0.0357142857142857,0
"Mülleder M.",3,0.111111111111111,0
"Nagi S.C.",3,0.0434782608695652,0
"O'Hanlon N.J.",3,0.00769230769230769,0
"Oi C.",3,0.0285714285714286,0
"Pirillo C.",3,0.142857142857143,0
"Prescott R.D.",3,0.333333333333333,0.5
"Redford J.",3,0.142857142857143,0
"Regan C.E.",3,0.00763358778625954,0
"Santoyo-Garcia J.H.",3,0.032258064516129,0
"Searle K.R.",3,0.00763358778625954,0
"Shen T.",3,0.00146412884333821,0
"Stokes A.A.",3,0.333333333333333,2
"Strachan J.",3,0.333333333333333,0
"Suchard M.A.",3,0.00900900900900901,20.5
"Valdivia-Cabrera M.",3,0.032258064516129,0
"Wei P.",3,0.00146198830409357,0
"Yue L.",3,0.00146198830409357,0
"Zhang H.",3,0.333333333333333,0
"Zhang W.-W.",3,0.00146198830409357,0
"Zhao J.-F.",3,0.00146198830409357,0
"Zhao N.",3,0.333333333333333,0
"Jeyaprakash A.A.",3,0.00104384133611691,337
"Carragher N.O.",3,0.333333333333333,2
"Anderson R.A.",3,0.2,5
"Meng F.",3,0.00161550888529887,0
"Jost C.",3,0.0384615384615385,0
"Kimani I.",3,0.0384615384615385,0
"Bett B.",3,0.0357142857142857,0
"Bayne E.H.",3,0.333333333333333,0
"Baird R.B.",2,0.03125,0
"Bennett A.",2,0.0625,0
"Brekke C.",2,0.0158730158730159,0
"Bremner A.",2,0.125,0
"Brown R.",2,0.166666666666667,0
"Brownlie R.J.",2,0.5,1
"Buchoux A.",2,0.25,0
"Charles K.",2,0.0012531328320802,0
"Chen Z.A.",2,0.0012531328320802,0
"Chintoan-Uta C.",2,0.125,0
"Chuven J.",2,0.142857142857143,0
"Cidlowski J.A.",2,0.0384615384615385,0
"Colquhoun R.",2,0.00869565217391304,0
"Dicks K.L.",2,0.166666666666667,3
"Dremel S.",2,0.125,0
"Fadel A.N.",2,0.0416666666666667,0
"Graham S.",2,0.5,1
"Graziadei A.",2,0.0012531328320802,0
"Hayward A.",2,0.0238095238095238,0
"Hepworth M.R.",2,0.0833333333333333,0
"Hodson C.N.",2,0.0256410256410256,0
"Huan Y.W.",2,0.166666666666667,0
"Jackson B.",2,0.00869565217391304,0
"Jaron K.S.",2,0.0256410256410256,0
"Ji X.",2,0.00657894736842105,0
"Jin J.",2,0.00118623962040332,0
"Jonguitud-Borrego N.",2,0.03125,0
"Kasprowicz R.",2,0.25,0
"Kaszuba K.",2,0.0012531328320802,0
"Kidner C.",2,0.5,0
"Kieninger M.",2,0.0384615384615385,0
"Koparde V.N.",2,0.125,0
"Krug L.T.",2,0.125,0
"Kumari A.",2,0.0012853470437018,0
"Lerma-Escalera J.A.",2,0.03125,0
"Li B.",2,0.00146198830409357,0
"Lv J.",2,0.00118623962040332,0
"Mahesh G.",2,0.125,0
"Malcı K.",2,0.03125,0
"Marinov G.K.",2,0.25,2
"Marshall H.",2,0.0263157894736842,12
"McGibbon M.",2,0.5,1
"Monteith K.M.",2,0.5,0
"Morley T.I.",2,0.00757575757575758,0
"Morones-Ramírez J.R.",2,0.03125,0
"Naicker T.",2,0.0666666666666667,0
"Papotto P.H.",2,0.0833333333333333,0
"Parkinson J.E.",2,0.0833333333333333,0
"Pham N.T.",2,0.5,0
"Prakash A.",2,0.5,0
"Reiertsen T.K.",2,0.00520833333333333,0
"Rifai O.M.",2,0.5,0
"Ripoll M.",2,0.032258064516129,14
"Rojas-Pirela M.",2,0.0416666666666667,12
"Rouse P.",2,0.5,0
"Santra M.",2,0.5,0
"Shave S.",2,0.25,0
"Song J.",2,0.00118623962040332,0
"Spanos C.",2,0.00126103404791929,501
"Stevens L.",2,0.0384615384615385,0
"Stoffel M.A.",2,0.02,0
"Sweetman J.",2,0.5,0
"Tan J.S.",2,0.025,0
"Tegally H.",2,0.00657894736842105,0
"Telfer E.E.",2,0.166666666666667,3
"Venkateswaran S.",2,0.5,0
"Waldron F.M.",2,0.5,0
"Walton A.J.",2,0.25,0
"Wasoh H.",2,0.025,0
"Wildenhain J.",2,0.5,0
"Wilkinson E.",2,0.00657894736842105,0
